Time,Body,Position
22450176.0,Jupiter,814047818974.6958
22450176.0,Uranus,4552979292061.894
22465728.0,Mercury,69473424542.71666
22465728.0,Venus,108605577810.31622
22465728.0,Earth,149039097590.4175
22465728.0,Neptune,3006708866209.7734
22465728.0, Mars,212699927420.7952
22465728.0,Saturn,1512094715153.5168
22465728.0,Jupiter,814044586355.7026
22465728.0,Uranus,4552979263383.48
22481280.0,Mercury,69503267286.56744
22481280.0,Venus,108602680607.38365
22481280.0,Earth,149046526601.69528
22481280.0,Neptune,3006707078101.9634
22481280.0, Mars,212671543618.76108
22481280.0,Saturn,1512093465440.9868
22481280.0,Jupiter,814041351574.1637
22481280.0,Uranus,4552979234685.267
22496832.0,Mercury,69531770888.15123
22496832.0,Venus,108599773086.02324
22496832.0,Earth,149053960766.14456
22496832.0,Neptune,3006705288757.017
22496832.0, Mars,212643201907.02927
22496832.0,Saturn,1512092214874.6514
22496832.0,Jupiter,814038114630.2372
22496832.0,Uranus,4552979205967.253
22512384.0,Mercury,69558934273.15004
22512384.0,Venus,108596855317.59778
22512384.0,Earth,149061400011.18134
22512384.0,Neptune,3006703498174.936
22512384.0, Mars,212614902396.8563
22512384.0,Saturn,1512090963454.5322
22512384.0,Jupiter,814034875524.0824
22512384.0,Uranus,4552979177229.438
22527936.0,Mercury,69584756421.49516
22527936.0,Venus,108593927373.74017
22527936.0,Earth,149068844264.19257
22527936.0,Neptune,3006701706355.72
22527936.0, Mars,212586645199.41745
22527936.0,Saturn,1512089711180.6511
22527936.0,Jupiter,814031634255.858
22527936.0,Uranus,4552979148471.823
22543488.0,Mercury,69609236366.85902
22543488.0,Venus,108590989326.35199
22543488.0,Earth,149076293452.53683
22543488.0,Neptune,3006699913299.3696
22543488.0, Mars,212558430425.806
22543488.0,Saturn,1512088458053.0295
22543488.0,Jupiter,814028390825.7233
22543488.0,Uranus,4552979119694.408
22559040.0,Mercury,69632373196.17409
22559040.0,Venus,108588041247.6021
22559040.0,Earth,149083747503.5449
22559040.0,Neptune,3006698119005.886
22559040.0, Mars,212530258187.0324
22559040.0,Saturn,1512087204071.6895
22559040.0,Jupiter,814025145233.837
22559040.0,Uranus,4552979090897.193
22574592.0,Mercury,69654166049.17787
22574592.0,Venus,108585083209.92506
22574592.0,Earth,149091206344.52054
22574592.0,Neptune,3006696323475.2695
22574592.0, Mars,212502128594.02362
22574592.0,Saturn,1512085949236.6519
22574592.0,Jupiter,814021897480.3588
22574592.0,Uranus,4552979062080.179
22590144.0,Mercury,69674614117.98425
22590144.0,Venus,108582115286.01993
22590144.0,Earth,149098669902.7411
22590144.0,Neptune,3006694526707.5195
22590144.0, Mars,212474041757.6222
22590144.0,Saturn,1512084693547.9392
22590144.0,Jupiter,814018647565.4478
22590144.0,Uranus,4552979033243.362
22605696.0,Mercury,69693716646.68088
22605696.0,Venus,108579137548.84851
22605696.0,Earth,149106138105.45813
22605696.0,Neptune,3006692728702.6377
22605696.0, Mars,212445997788.58585
22605696.0,Saturn,1512083437005.5728
22605696.0,Jupiter,814015395489.2635
22605696.0,Uranus,4552979004386.749
22621248.0,Mercury,69711472930.95216
22621248.0,Venus,108576150071.63419
22621248.0,Earth,149113610879.89816
22621248.0,Neptune,3006690929460.6245
22621248.0, Mars,212417996797.58627
22621248.0,Saturn,1512082179609.5745
22621248.0,Jupiter,814012141251.9657
22621248.0,Uranus,4552978975510.335
22636800.0,Mercury,69727882317.72816
